PWR: 1213.802 | HEx1: 5.457 | HEx2: 3.271 | HEx3: 3.104 | C1: 0.569 | C2: 2.319 | C3: 1.679 | C4: 0.006 | C6: 0.488 | C7: 2.483 | T1: -16.701 | T2: -64.998 | P1: 412.501 | P2: 2292.792 
PWR: 1215.807 | HEx1: 5.588 | HEx2: 3.329 | HEx3: 3.025 | C1: 0.570 | C2: 2.329 | C3: 1.684 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.722 | T2: -65.100 | P1: 412.691 | P2: 2294.650 
PWR: 1215.482 | HEx1: 5.530 | HEx2: 3.313 | HEx3: 3.084 | C1: 0.570 | C2: 2.325 | C3: 1.681 | C4: 0.003 | C6: 0.486 | C7: 2.483 | T1: -16.770 | T2: -65.041 | P1: 412.564 | P2: 2293.704 
PWR: 1217.161 | HEx1: 5.603 | HEx2: 3.356 | HEx3: 3.049 | C1: 0.571 | C2: 2.331 | C3: 1.683 | C4: 0.001 | C6: 0.485 | C7: 2.483 | T1: -16.838 | T2: -65.083 | P1: 412.628 | P2: 2294.617 
PWR: 1216.322 | HEx1: 5.566 | HEx2: 3.335 | HEx3: 3.066 | C1: 0.571 | C2: 2.328 | C3: 1.682 | C4: 0.002 | C6: 0.485 | C7: 2.483 | T1: -16.804 | T2: -65.062 | P1: 412.596 | P2: 2294.161 
PWR: 1217.161 | HEx1: 5.603 | HEx2: 3.356 | HEx3: 3.049 | C1: 0.571 | C2: 2.331 | C3: 1.683 | C4: 0.001 | C6: 0.485 | C7: 2.483 | T1: -16.838 | T2: -65.083 | P1: 412.628 | P2: 2294.617 
PWR: 1213.456 | HEx1: 5.472 | HEx2: 3.242 | HEx3: 3.080 | C1: 0.569 | C2: 2.319 | C3: 1.682 | C4: 0.003 | C6: 0.488 | C7: 2.483 | T1: -16.711 | T2: -65.025 | P1: 412.653 | P2: 2292.775 
PWR: 1215.807 | HEx1: 5.588 | HEx2: 3.329 | HEx3: 3.025 | C1: 0.570 | C2: 2.329 | C3: 1.684 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.722 | T2: -65.100 | P1: 412.691 | P2: 2294.650 
PWR: 1207.727 | HEx1: 5.205 | HEx2: 3.134 | HEx3: 3.006 | C1: 0.566 | C2: 2.299 | C3: 1.671 | C4: 0.014 | C6: 0.493 | C7: 2.484 | T1: -16.472 | T2: -64.776 | P1: 412.219 | P2: 2289.578 
PWR: 1214.116 | HEx1: 5.847 | HEx2: 3.337 | HEx3: 2.800 | C1: 0.567 | C2: 2.309 | C3: 1.706 | C4: 0.001 | C6: 0.468 | C7: 2.482 | T1: -16.420 | T2: -64.848 | P1: 409.196 | P2: 2301.731 
PWR: 1213.360 | HEx1: 5.556 | HEx2: 3.211 | HEx3: 3.021 | C1: 0.567 | C2: 2.312 | C3: 1.691 | C4: 0.004 | C6: 0.487 | C7: 2.483 | T1: -16.694 | T2: -64.942 | P1: 411.951 | P2: 2295.554 
PWR: 1209.579 | HEx1: 5.290 | HEx2: 3.164 | HEx3: 3.043 | C1: 0.567 | C2: 2.306 | C3: 1.674 | C4: 0.011 | C6: 0.490 | C7: 2.483 | T1: -16.540 | T2: -64.948 | P1: 412.341 | P2: 2290.692 
PWR: 1214.214 | HEx1: 5.679 | HEx2: 3.299 | HEx3: 2.946 | C1: 0.568 | C2: 2.315 | C3: 1.694 | C4: 0.004 | C6: 0.477 | C7: 2.483 | T1: -16.533 | T2: -64.973 | P1: 410.912 | P2: 2298.055 
PWR: 1213.417 | HEx1: 5.569 | HEx2: 3.264 | HEx3: 3.042 | C1: 0.568 | C2: 2.315 | C3: 1.688 | C4: 0.001 | C6: 0.483 | C7: 2.483 | T1: -16.646 | T2: -64.953 | P1: 411.665 | P2: 2294.882 
PWR: 1212.075 | HEx1: 5.403 | HEx2: 3.230 | HEx3: 3.075 | C1: 0.568 | C2: 2.314 | C3: 1.678 | C4: 0.007 | C6: 0.488 | C7: 2.483 | T1: -16.600 | T2: -64.980 | P1: 412.493 | P2: 2292.237 
PWR: 1213.247 | HEx1: 5.465 | HEx2: 3.240 | HEx3: 3.073 | C1: 0.569 | C2: 2.318 | C3: 1.682 | C4: 0.003 | C6: 0.488 | C7: 2.483 | T1: -16.706 | T2: -65.005 | P1: 412.635 | P2: 2292.638 
PWR: 1213.437 | HEx1: 5.521 | HEx2: 3.253 | HEx3: 3.068 | C1: 0.569 | C2: 2.317 | C3: 1.685 | C4: 0.002 | C6: 0.485 | C7: 2.483 | T1: -16.678 | T2: -64.989 | P1: 412.159 | P2: 2293.829 
PWR: 1213.342 | HEx1: 5.480 | HEx2: 3.231 | HEx3: 3.083 | C1: 0.569 | C2: 2.318 | C3: 1.683 | C4: 0.009 | C6: 0.487 | C7: 2.483 | T1: -16.558 | T2: -65.101 | P1: 412.628 | P2: 2294.307 
PWR: 1213.288 | HEx1: 5.454 | HEx2: 3.246 | HEx3: 3.077 | C1: 0.569 | C2: 2.318 | C3: 1.681 | C4: 0.002 | C6: 0.489 | C7: 2.483 | T1: -16.710 | T2: -64.970 | P1: 412.603 | P2: 2292.410 
PWR: 1212.786 | HEx1: 5.451 | HEx2: 3.217 | HEx3: 3.066 | C1: 0.569 | C2: 2.316 | C3: 1.682 | C4: 0.002 | C6: 0.488 | C7: 2.483 | T1: -16.686 | T2: -65.023 | P1: 412.688 | P2: 2292.312 
PWR: 1213.403 | HEx1: 5.477 | HEx2: 3.238 | HEx3: 3.075 | C1: 0.569 | C2: 2.318 | C3: 1.682 | C4: 0.001 | C6: 0.488 | C7: 2.483 | T1: -16.711 | T2: -65.029 | P1: 412.657 | P2: 2292.772 
PWR: 1215.504 | HEx1: 5.519 | HEx2: 3.326 | HEx3: 3.110 | C1: 0.569 | C2: 2.326 | C3: 1.679 | C4: 0.008 | C6: 0.488 | C7: 2.483 | T1: -16.727 | T2: -65.004 | P1: 412.459 | P2: 2293.345 
PWR: 1213.114 | HEx1: 5.456 | HEx2: 3.234 | HEx3: 3.072 | C1: 0.569 | C2: 2.318 | C3: 1.681 | C4: 0.001 | C6: 0.488 | C7: 2.483 | T1: -16.738 | T2: -64.995 | P1: 412.663 | P2: 2292.115 
PWR: 1213.285 | HEx1: 5.464 | HEx2: 3.238 | HEx3: 3.076 | C1: 0.569 | C2: 2.318 | C3: 1.682 | C4: 0.002 | C6: 0.488 | C7: 2.483 | T1: -16.724 | T2: -65.010 | P1: 412.658 | P2: 2292.445 
PWR: 1212.752 | HEx1: 5.411 | HEx2: 3.243 | HEx3: 3.088 | C1: 0.569 | C2: 2.316 | C3: 1.677 | C4: 0.007 | C6: 0.489 | C7: 2.483 | T1: -16.658 | T2: -64.972 | P1: 412.462 | P2: 2292.221 
PWR: 1212.418 | HEx1: 5.419 | HEx2: 3.200 | HEx3: 3.062 | C1: 0.569 | C2: 2.313 | C3: 1.682 | C4: 0.003 | C6: 0.489 | C7: 2.483 | T1: -16.647 | T2: -65.001 | P1: 412.663 | P2: 2292.171 
PWR: 1213.060 | HEx1: 5.447 | HEx2: 3.222 | HEx3: 3.070 | C1: 0.569 | C2: 2.316 | C3: 1.682 | C4: 0.003 | C6: 0.489 | C7: 2.483 | T1: -16.710 | T2: -64.998 | P1: 412.650 | P2: 2292.219 
PWR: 1208.659 | HEx1: 5.339 | HEx2: 3.148 | HEx3: 3.033 | C1: 0.569 | C2: 2.305 | C3: 1.674 | C4: 0.002 | C6: 0.485 | C7: 2.483 | T1: -16.776 | T2: -65.073 | P1: 412.592 | P2: 2293.855 
PWR: 1212.860 | HEx1: 5.444 | HEx2: 3.223 | HEx3: 3.071 | C1: 0.569 | C2: 2.316 | C3: 1.681 | C4: 0.003 | C6: 0.489 | C7: 2.483 | T1: -16.710 | T2: -65.011 | P1: 412.642 | P2: 2292.524 
PWR: 1214.349 | HEx1: 5.505 | HEx2: 3.269 | HEx3: 3.093 | C1: 0.569 | C2: 2.322 | C3: 1.682 | C4: 0.003 | C6: 0.488 | C7: 2.483 | T1: -16.739 | T2: -65.034 | P1: 412.694 | P2: 2292.883 
PWR: 1213.480 | HEx1: 5.464 | HEx2: 3.252 | HEx3: 3.087 | C1: 0.569 | C2: 2.319 | C3: 1.680 | C4: 0.004 | C6: 0.488 | C7: 2.483 | T1: -16.710 | T2: -65.012 | P1: 412.586 | P2: 2292.779 
PWR: 1212.734 | HEx1: 5.492 | HEx2: 3.239 | HEx3: 3.069 | C1: 0.569 | C2: 2.318 | C3: 1.683 | C4: 0.006 | C6: 0.485 | C7: 2.483 | T1: -16.682 | T2: -65.034 | P1: 412.632 | P2: 2293.767 
PWR: 1213.694 | HEx1: 5.488 | HEx2: 3.246 | HEx3: 3.083 | C1: 0.569 | C2: 2.320 | C3: 1.682 | C4: 0.002 | C6: 0.487 | C7: 2.483 | T1: -16.713 | T2: -65.045 | P1: 412.663 | P2: 2292.949 
PWR: 1214.080 | HEx1: 5.536 | HEx2: 3.300 | HEx3: 3.062 | C1: 0.569 | C2: 2.320 | C3: 1.682 | C4: 0.003 | C6: 0.484 | C7: 2.483 | T1: -16.748 | T2: -64.961 | P1: 412.241 | P2: 2295.075 
PWR: 1208.739 | HEx1: 4.978 | HEx2: 3.288 | HEx3: 3.111 | C1: 0.569 | C2: 2.301 | C3: 1.645 | C4: 0.001 | C6: 0.497 | C7: 2.483 | T1: -17.066 | T2: -64.208 | P1: 411.490 | P2: 2280.059 
PWR: 1214.278 | HEx1: 5.498 | HEx2: 3.266 | HEx3: 3.096 | C1: 0.569 | C2: 2.322 | C3: 1.682 | C4: 0.002 | C6: 0.487 | C7: 2.483 | T1: -16.713 | T2: -65.052 | P1: 412.653 | P2: 2292.838 
PWR: 1213.844 | HEx1: 5.492 | HEx2: 3.250 | HEx3: 3.084 | C1: 0.569 | C2: 2.320 | C3: 1.683 | C4: 0.002 | C6: 0.488 | C7: 2.483 | T1: -16.728 | T2: -65.037 | P1: 412.680 | P2: 2292.999 
